source,title,company,city,work_format,requirements,salary,link
Habr Career,SRE инженер (Kafka),Bell Integrator,Не указан,Офис / Гибрид,"Linux, Apache Kafka, Kubernetes",,https://career.habr.com/vacancies/1000166652
Habr Career,DevOps-инженер (стажер),МТС Банк,Не указан,Офис / Гибрид,"Linux, DevOps, Bash",,https://career.habr.com/vacancies/1000167264
Habr Career,Аналитик DWH,Лига Цифровой Экономики,Не указан,Офис / Гибрид,"SQL, DWH",,https://career.habr.com/vacancies/1000166776
Habr Career,Frontend-разработчик,МТС Банк,Не указан,Офис / Гибрид,"React, HTML, TypeScript",,https://career.habr.com/vacancies/1000167323
Habr Career,"Старший менеджер продукта, Москва",VK,Не указан,Офис / Гибрид,"Управление проектами, Построение команды, Управление продуктами, A/B тестирование",,https://career.habr.com/vacancies/1000167047
Habr Career,Специалист по кибербезопасности AI/LLM-решений,СберЗдоровье,Не указан,Офис / Гибрид,LLM,,https://career.habr.com/vacancies/1000168651
Habr Career,ML Lead,CHOICEIT,Не указан,Офис / Гибрид,"NumPy, Python, PyTorch, Машинное обучение",,https://career.habr.com/vacancies/1000167263
Habr Career,.NET разработчик / Проектная работа / АУТСТАФФ,Extyl,Не указан,Офис / Гибрид,".NET, C#, .NET Core, SQL",,https://career.habr.com/vacancies/1000166905
Habr Career,Продуктовый аналитик,СОГАЗ,Не указан,Офис / Гибрид,"SQL, Python",,https://career.habr.com/vacancies/1000168471
Habr Career,Middle/Senior PHP-разработчик (Laravel + высоконагруженные системы),RSD,Не указан,Офис / Гибрид,"PHP, RabbitMQ, PostgreSQL, ClickHouse, PostGIS, Laravel",от 200 000 до 350 000 ₽,https://career.habr.com/vacancies/1000166621
Habr Career,DevOps-инженер,Bell Integrator,Не указан,Офис / Гибрид,"DevOps, SRE",,https://career.habr.com/vacancies/1000166686
Habr Career,Технический продуктовый маркетолог / CRM-маркетолог,ANCOR,Не указан,Офис / Гибрид,"Email маркетинг, Интернет маркетинг",,https://career.habr.com/vacancies/1000168566
Habr Career,Технический продуктовый маркетолог / CRM-маркетолог,ANCOR,Не указан,Офис / Гибрид,"Email маркетинг, Интернет маркетинг",,https://career.habr.com/vacancies/1000168567
Habr Career,Технический продуктовый маркетолог / CRM-маркетолог,ANCOR,Не указан,Офис / Гибрид,"Интернет маркетинг, Работа в команде",,https://career.habr.com/vacancies/1000168564
Habr Career,Старший Java/Kotlin разработчик,МТС Банк,Не указан,Офис / Гибрид,"Kotlin, Spring Boot, Java, SQL, Apache Kafka",,https://career.habr.com/vacancies/1000167360
Habr Career,Лидер продукта/СРО цифровых витрин Yota,МегаФон,Не указан,Офис / Гибрид,Управление продуктами,,https://career.habr.com/vacancies/1000166991
Habr Career,Архитектор по обеспечению цифровых инноваций (LLM),МегаФон,Не указан,Офис / Гибрид,LLM,,https://career.habr.com/vacancies/1000166993
Habr Career,Аналитик КХД,Bell Integrator,Не указан,Офис / Гибрид,"SQL, Python, ETL, DWH",,https://career.habr.com/vacancies/1000166677
Habr Career,"Python Developer (AI,ML Москва)",Bell Integrator,Не указан,Офис / Гибрид,"Python, LLM, LangChain",,https://career.habr.com/vacancies/1000167837
